ID_PERSONA,ID_EMPRESA,MONTO,FECHA
31,1,3142,21-01-2021
63,5,962,21-01-2021
60,3,204,21-01-2021
83,9,2996,21-01-2021
69,5,3418,21-01-2021
20,4,2071,21-01-2021
97,6,2589,21-01-2021
37,4,579,21-01-2021
53,4,206,21-01-2021
76,6,2878,21-01-2021
14,8,1610,21-01-2021
42,5,2697,21-01-2021
45,9,2011,21-01-2021
11,3,2903,21-01-2021
66,10,1771,21-01-2021
62,3,1921,21-01-2021
87,1,3036,21-01-2021
95,1,1754,21-01-2021
18,8,1514,21-01-2021
72,7,1391,21-01-2021
45,2,3433,21-01-2021
70,8,1221,21-01-2021
30,5,2214,21-01-2021
74,10,3220,21-01-2021
57,3,816,21-01-2021
38,8,2810,21-01-2021
52,1,3267,21-01-2021
65,8,2857,21-01-2021
40,7,2637,21-01-2021
92,5,1956,21-01-2021
1,10,2441,21-01-2021
29,6,332,21-01-2021
17,3,980,21-01-2021
48,6,2382,21-01-2021
8,4,783,21-01-2021
4,1,3018,21-01-2021
96,8,1017,21-01-2021
20,2,3260,21-01-2021
20,3,1376,21-01-2021
18,2,2979,21-01-2021
3,3,507,21-01-2021
51,1,3155,21-01-2021
80,10,362,21-01-2021
31,2,2576,21-01-2021
13,1,2248,21-01-2021
15,8,2718,21-01-2021
94,4,3294,21-01-2021
80,8,1775,21-01-2021
97,3,1994,21-01-2021
16,8,628,21-01-2021
33,4,3158,21-01-2021
25,5,3002,21-01-2021
71,9,2352,21-01-2021
75,2,1601,21-01-2021
41,10,2015,21-01-2021
60,9,2309,21-01-2021
74,7,519,21-01-2021
85,3,2284,21-01-2021
64,10,2173,21-01-2021
60,10,383,21-01-2021
21,7,2021,21-01-2021
1,2,1749,21-01-2021
5,2,2035,21-01-2021
57,1,3210,21-01-2021
21,2,2325,21-01-2021
85,10,1669,21-01-2021
50,8,3126,21-01-2021
47,7,208,21-01-2021
1,6,3407,21-01-2021
1,5,2138,21-01-2021
71,5,296,21-01-2021
36,5,2714,21-01-2021
54,4,3464,21-01-2021
15,5,3084,21-01-2021
59,7,1206,21-01-2021
57,7,3097,21-01-2021
11,5,1887,21-01-2021
7,3,2247,21-01-2021
20,2,2451,21-01-2021
73,5,322,21-01-2021
96,3,554,21-01-2021
68,10,1387,21-01-2021
50,9,328,21-01-2021
94,2,2975,21-01-2021
24,1,3495,21-01-2021
61,9,1877,21-01-2021
11,7,1629,21-01-2021
16,10,2573,21-01-2021
37,4,2772,21-01-2021
61,2,3473,21-01-2021
68,2,3304,21-01-2021
92,10,2004,21-01-2021
35,7,2356,21-01-2021
11,6,1477,21-01-2021
82,2,2793,21-01-2021
22,4,840,21-01-2021
54,2,2838,21-01-2021
74,10,1790,21-01-2021
43,3,217,21-01-2021
81,9,516,21-01-2021
30,3,406,21-01-2021
37,7,2973,21-01-2021
16,1,3459,21-01-2021
71,2,3474,21-01-2021
46,10,3251,21-01-2021
12,8,1406,21-01-2021
9,9,640,21-01-2021
45,1,2347,21-01-2021
30,9,3286,21-01-2021
50,10,1016,21-01-2021
47,4,1983,21-01-2021
41,9,2964,21-01-2021
85,10,394,21-01-2021
53,4,952,21-01-2021
10,5,1749,21-01-2021
19,8,3146,21-01-2021
68,3,1461,21-01-2021
64,4,316,21-01-2021
61,4,2456,21-01-2021
51,6,2443,21-01-2021
38,7,319,21-01-2021
23,6,2062,21-01-2021
56,5,956,21-01-2021
27,3,3468,21-01-2021
46,8,2036,21-01-2021
61,7,1461,21-01-2021
10,6,451,21-01-2021
4,2,370,21-01-2021
74,3,2914,21-01-2021
88,7,2876,21-01-2021
83,1,3488,21-01-2021
43,1,1739,21-01-2021
73,3,619,21-01-2021
95,10,774,21-01-2021
83,9,330,21-01-2021
68,8,2712,21-01-2021
99,10,3383,21-01-2021
36,6,1275,21-01-2021
28,5,2229,21-01-2021
44,7,2459,21-01-2021
15,4,1325,21-01-2021
46,3,2159,21-01-2021
21,10,3249,21-01-2021
12,5,3295,21-01-2021
87,2,1599,21-01-2021
92,2,1589,21-01-2021
67,3,2917,21-01-2021
73,3,1020,21-01-2021
14,5,2609,21-01-2021
27,4,3412,21-01-2021
99,7,1612,21-01-2021
63,8,827,21-01-2021
5,9,2258,21-01-2021
60,7,2223,21-01-2021
59,4,2074,21-01-2021
93,2,449,21-01-2021
89,4,1989,21-01-2021
8,2,541,21-01-2021
24,1,1564,21-01-2021
42,6,2523,21-01-2021
67,6,1034,21-01-2021
34,9,2875,21-01-2021
94,5,2132,21-01-2021
7,1,1256,21-01-2021
55,2,2930,21-01-2021
54,3,1764,21-01-2021
19,8,819,21-01-2021
56,10,1794,21-01-2021
27,6,3449,21-01-2021
41,3,2713,21-01-2021
14,2,247,21-01-2021
80,5,1068,21-01-2021
26,9,1390,21-01-2021
63,3,1337,21-01-2021
97,2,675,21-01-2021
42,3,3328,21-01-2021
88,2,1997,21-01-2021
3,9,1605,21-01-2021
82,1,3240,21-01-2021
76,9,1948,21-01-2021
19,5,2450,21-01-2021
73,10,1506,21-01-2021
75,8,2002,21-01-2021
93,8,3106,21-01-2021
79,4,2761,21-01-2021
9,4,3095,21-01-2021
8,1,2199,21-01-2021
