ID_PERSONA,ID_EMPRESA,MONTO,FECHA
26,7,2244,2021-01-23
24,6,1745,2021-01-23
1,10,238,2021-01-23
19,2,3338,2021-01-23
95,8,2656,2021-01-23
37,6,3811,2021-01-23
40,2,297,2021-01-23
27,3,2896,2021-01-23
65,2,4097,2021-01-23
21,8,2799,2021-01-23
71,8,3148,2021-01-23
71,4,2712,2021-01-23
34,6,513,2021-01-23
71,5,1548,2021-01-23
81,3,1343,2021-01-23
90,1,4224,2021-01-23
87,8,1571,2021-01-23
82,4,3411,2021-01-23
61,4,871,2021-01-23
48,6,783,2021-01-23
72,1,1580,2021-01-23
93,1,4250,2021-01-23
26,5,2628,2021-01-23
27,8,1436,2021-01-23
15,5,391,2021-01-23
90,2,3483,2021-01-23
40,4,3342,2021-01-23
3,5,722,2021-01-23
51,9,3478,2021-01-23
21,9,4261,2021-01-23
39,9,3052,2021-01-23
84,4,4071,2021-01-23
32,7,1601,2021-01-23
65,1,3123,2021-01-23
17,6,3162,2021-01-23
46,7,782,2021-01-23
79,5,1603,2021-01-23
50,1,1377,2021-01-23
23,8,737,2021-01-23
83,5,2233,2021-01-23
77,6,1769,2021-01-23
24,2,4048,2021-01-23
96,4,2887,2021-01-23
97,4,3799,2021-01-23
60,8,4110,2021-01-23
56,9,2108,2021-01-23
38,4,1328,2021-01-23
59,5,1945,2021-01-23
98,4,2177,2021-01-23
24,8,2014,2021-01-23
61,9,3141,2021-01-23
81,7,669,2021-01-23
46,6,1928,2021-01-23
19,9,286,2021-01-23
73,7,1429,2021-01-23
82,7,1129,2021-01-23
33,2,2972,2021-01-23
71,3,3575,2021-01-23
1,1,3120,2021-01-23
22,3,3177,2021-01-23
90,10,233,2021-01-23
58,10,2360,2021-01-23
44,3,1408,2021-01-23
36,6,1895,2021-01-23
25,7,431,2021-01-23
14,5,3385,2021-01-23
9,6,1916,2021-01-23
93,3,3323,2021-01-23
52,3,938,2021-01-23
15,5,2238,2021-01-23
40,4,974,2021-01-23
75,8,3301,2021-01-23
80,4,3514,2021-01-23
4,6,3216,2021-01-23
97,1,4140,2021-01-23
20,8,754,2021-01-23
53,9,823,2021-01-23
26,10,2702,2021-01-23
41,5,4066,2021-01-23
9,3,603,2021-01-23
31,10,928,2021-01-23
99,3,1682,2021-01-23
100,8,2698,2021-01-23
70,7,3842,2021-01-23
88,6,1651,2021-01-23
29,2,1554,2021-01-23
47,5,542,2021-01-23
31,2,3724,2021-01-23
93,4,1393,2021-01-23
20,4,436,2021-01-23
58,9,694,2021-01-23
6,5,484,2021-01-23
24,10,1006,2021-01-23
55,10,3429,2021-01-23
65,3,4033,2021-01-23
22,2,1398,2021-01-23
40,9,2114,2021-01-23
34,10,597,2021-01-23
100,6,3132,2021-01-23
86,4,1899,2021-01-23
8,7,2538,2021-01-23
93,3,1460,2021-01-23
57,8,922,2021-01-23
28,4,1928,2021-01-23
9,3,4129,2021-01-23
68,10,3928,2021-01-23
56,5,2082,2021-01-23
43,6,3707,2021-01-23
32,4,4020,2021-01-23
16,5,1887,2021-01-23
38,6,549,2021-01-23
14,6,4368,2021-01-23
45,4,4267,2021-01-23
39,6,372,2021-01-23
88,1,4291,2021-01-23
73,4,3878,2021-01-23
40,10,527,2021-01-23
15,4,3896,2021-01-23
18,7,3316,2021-01-23
76,5,375,2021-01-23
63,5,707,2021-01-23
74,5,3546,2021-01-23
29,8,2442,2021-01-23
6,2,1575,2021-01-23
99,4,3261,2021-01-23
29,2,661,2021-01-23
66,5,4470,2021-01-23
22,9,796,2021-01-23
64,4,317,2021-01-23
97,1,407,2021-01-23
39,10,763,2021-01-23
73,2,3681,2021-01-23
39,10,511,2021-01-23
80,7,4250,2021-01-23
46,4,1797,2021-01-23
31,4,278,2021-01-23
64,1,2726,2021-01-23
60,1,3558,2021-01-23
90,9,938,2021-01-23
85,4,1842,2021-01-23
36,8,1345,2021-01-23
33,3,3238,2021-01-23
95,6,2653,2021-01-23
42,3,3772,2021-01-23
38,1,2160,2021-01-23
4,6,1857,2021-01-23
92,5,2860,2021-01-23
58,2,2558,2021-01-23
39,8,1738,2021-01-23
86,2,3910,2021-01-23
62,8,1239,2021-01-23
92,2,1214,2021-01-23
85,4,1991,2021-01-23
66,3,3023,2021-01-23
11,9,352,2021-01-23
23,4,2400,2021-01-23
28,5,592,2021-01-23
59,8,887,2021-01-23
88,3,791,2021-01-23
80,5,2232,2021-01-23
78,3,429,2021-01-23
14,8,2880,2021-01-23
32,5,1676,2021-01-23
86,1,314,2021-01-23
58,3,784,2021-01-23
24,6,4014,2021-01-23
37,4,2100,2021-01-23
32,7,4493,2021-01-23
17,5,2067,2021-01-23
59,10,1304,2021-01-23
14,1,1137,2021-01-23
64,7,714,2021-01-23
76,8,1607,2021-01-23
6,3,2810,2021-01-23
24,4,1618,2021-01-23
61,5,2967,2021-01-23
43,6,4064,2021-01-23
70,5,856,2021-01-23
54,9,4496,2021-01-23
47,8,4414,2021-01-23
98,5,1898,2021-01-23
51,7,3433,2021-01-23
4,2,4004,2021-01-23
81,9,2901,2021-01-23
84,1,769,2021-01-23
88,5,793,2021-01-23
7,7,2201,2021-01-23
25,10,1772,2021-01-23
35,3,3546,2021-01-23
3,6,1754,2021-01-23
83,6,3590,2021-01-23
40,7,3666,2021-01-23
60,10,3399,2021-01-23
78,8,2375,2021-01-23
39,6,3221,2021-01-23
25,1,820,2021-01-23
41,10,985,2021-01-23
98,5,1419,2021-01-23
89,10,3371,2021-01-23
25,2,642,2021-01-23
42,8,1469,2021-01-23
90,3,2334,2021-01-23
